fold,window,window_start_seconds,window_end_seconds,k_features,selection_strategy,C,balanced_accuracy,macro_f1,negative_log_likelihood
3,2:4,2.0,4.0,64,kbest,1.0,0.35509413067552603,0.3493306147222965,2.030384876087474
3,4:6,4.0,6.0,0,all_after_variance,0.01,0.2879775747508306,0.2870749698013313,1.4492023756960777
3,4:6,4.0,6.0,0,all_after_variance,0.1,0.30081672203765225,0.2984047456031873,2.323542305959959
3,4:6,4.0,6.0,0,all_after_variance,1.0,0.30081672203765225,0.2985951468710089,3.546545121821889
3,4:6,4.0,6.0,8,kbest,0.01,0.2939714839424142,0.2927609427609428,1.1504810680782416
3,4:6,4.0,6.0,8,kbest,0.1,0.2758028792912514,0.2752896357373969,1.3721456212038607
3,4:6,4.0,6.0,8,kbest,1.0,0.26627906976744187,0.2648649971848915,1.5962199587346126
3,4:6,4.0,6.0,16,kbest,0.01,0.27071566998892577,0.26993411978376897,1.183302761975306
3,4:6,4.0,6.0,16,kbest,0.1,0.3338524363233666,0.33275613275613275,1.4789691506265767
3,4:6,4.0,6.0,16,kbest,1.0,0.3114894795127353,0.30858960763520676,1.8582854608542365
3,4:6,4.0,6.0,32,kbest,0.01,0.2871124031007752,0.28447755289022153,1.2118267751112248
3,4:6,4.0,6.0,32,kbest,0.1,0.2653862126245847,0.2647722647722648,1.56862172895185
3,4:6,4.0,6.0,32,kbest,1.0,0.2704734219269103,0.26801619433198376,2.203044162809047
3,4:6,4.0,6.0,64,kbest,0.01,0.2886420265780731,0.2866847826086956,1.2324899008291352
3,4:6,4.0,6.0,64,kbest,0.1,0.29727297895902544,0.29453044375644993,1.7048926183400748
3,4:6,4.0,6.0,64,kbest,1.0,0.299937707641196,0.2995254266805991,3.1236577129112444
3,6:8,6.0,8.0,0,all_after_variance,0.01,0.4056063122923588,0.40401290582778787,1.2556791116249062
3,6:8,6.0,8.0,0,all_after_variance,0.1,0.35797342192691034,0.35537642434194155,1.8177843387158865
3,6:8,6.0,8.0,0,all_after_variance,1.0,0.4178086932447398,0.41727958595428466,2.694994023476398
3,6:8,6.0,8.0,8,kbest,0.01,0.47293743078626793,0.4690667017036745,1.0588303745594396
3,6:8,6.0,8.0,8,kbest,0.1,0.45299695459579176,0.44834259722697856,1.1061772526739977
3,6:8,6.0,8.0,8,kbest,1.0,0.4366140642303433,0.43508339469776497,1.2447073642737763
3,6:8,6.0,8.0,16,kbest,0.01,0.49467746400885937,0.49446240034475325,1.0711343577222088
3,6:8,6.0,8.0,16,kbest,0.1,0.4660921926910299,0.46610644257703077,1.1646653402843687
3,6:8,6.0,8.0,16,kbest,1.0,0.4038344407530454,0.40278235552625796,1.4371372508587215
3,6:8,6.0,8.0,32,kbest,0.01,0.4773878737541528,0.4775770844736362,1.0986963085266404
3,6:8,6.0,8.0,32,kbest,0.1,0.4514811738648948,0.45093795093795097,1.2856120294830464
3,6:8,6.0,8.0,32,kbest,1.0,0.3466777408637874,0.34599576535060406,1.8387732369829606
3,6:8,6.0,8.0,64,kbest,0.01,0.3865586932447398,0.3858473858473858,1.1574672517677573
3,6:8,6.0,8.0,64,kbest,0.1,0.3976121262458472,0.39454457146736716,1.4351836278159718
3,6:8,6.0,8.0,64,kbest,1.0,0.35683831672203764,0.34823422191843245,2.325073882958032
3,8:10,8.0,10.0,0,all_after_variance,0.01,0.3615586932447397,0.35660974067046175,1.2888898475937152
3,8:10,8.0,10.0,0,all_after_variance,0.1,0.34758444075304534,0.34824811645088144,2.087507825140841
3,8:10,8.0,10.0,0,all_after_variance,1.0,0.32941583610188263,0.33068388806093724,3.364841823599559
3,8:10,8.0,10.0,8,kbest,0.01,0.3606519933554817,0.3606229162414098,1.1369142555563267
3,8:10,8.0,10.0,8,kbest,0.1,0.3329595791805094,0.33427670399501386,1.3218780711361877
3,8:10,8.0,10.0,8,kbest,1.0,0.32520764119601325,0.3260233918128655,1.4815474711404575
3,8:10,8.0,10.0,16,kbest,0.01,0.3790490033222591,0.3735533472375578,1.1420851252603745
3,8:10,8.0,10.0,16,kbest,0.1,0.33804678848283504,0.33826641767818244,1.3218818704201554
3,8:10,8.0,10.0,16,kbest,1.0,0.3389396456256921,0.33850061490301303,1.4976400734045872
3,8:10,8.0,10.0,32,kbest,0.01,0.37727713178294575,0.37390103567318755,1.1400740882583353
3,8:10,8.0,10.0,32,kbest,0.1,0.3701896456256921,0.36917489501759165,1.3498494112716701
3,8:10,8.0,10.0,32,kbest,1.0,0.33030869324473977,0.3273423735628839,2.1399693608752797
3,8:10,8.0,10.0,64,kbest,0.01,0.3841362126245847,0.3814524083511426,1.1442204739013724
3,8:10,8.0,10.0,64,kbest,0.1,0.3504775747508306,0.34861343133979283,1.4600287539383774
3,8:10,8.0,10.0,64,kbest,1.0,0.40763427464008856,0.4014041514041515,2.5910394390573894
3,0:10,0.0,10.0,0,all_after_variance,0.01,0.3391680509413068,0.3368420872376569,1.3984048424286823
3,0:10,0.0,10.0,0,all_after_variance,0.1,0.28799141749723145,0.28863465866466614,2.326552029894734
3,0:10,0.0,10.0,0,all_after_variance,1.0,0.28799141749723145,0.28863465866466614,3.7291104306263883
3,0:10,0.0,10.0,8,kbest,0.01,0.3079318936877076,0.30833789454479105,1.1221746395964656
3,0:10,0.0,10.0,8,kbest,0.1,0.2793466223698782,0.28036634997213933,1.2149921196518552
3,0:10,0.0,10.0,8,kbest,1.0,0.3234357696566999,0.3248677248677248,1.2800969394999597
3,0:10,0.0,10.0,16,kbest,0.01,0.2638565891472868,0.2631249347667258,1.141741368598115
3,0:10,0.0,10.0,16,kbest,0.1,0.27136627906976746,0.26910136151884595,1.3151246474816864
3,0:10,0.0,10.0,16,kbest,1.0,0.314562569213732,0.3138447971781305,1.5881865119759164
3,0:10,0.0,10.0,32,kbest,0.01,0.31415420819490586,0.31145199926294453,1.1560957316645297
3,0:10,0.0,10.0,32,kbest,0.1,0.2611918604651163,0.262661918501382,1.412918027147139
3,0:10,0.0,10.0,32,kbest,1.0,0.30196566998892577,0.3002114128772147,1.9610883833032569
