subject,ma_mau,substance,intensity,roi,band,abs_power,rel_power
P021,S1_5,Sucrose,5,Frontal,beta,5.768445858056514e-10,0.18575900547530436
P021,S1_5,Sucrose,5,Frontal,delta,1.3093419062784162e-09,0.44304635438765066
P021,S1_5,Sucrose,5,Frontal,gamma,4.908337560214145e-10,0.16502451283663438
P021,S1_5,Sucrose,5,Frontal,theta,4.012988602315843e-10,0.12524666010777294
P021,S1_5,Sucrose,5,Gustatory,alpha,3.6797759529666424e-10,0.07007992154640816
P021,S1_5,Sucrose,5,Gustatory,beta,1.3073938246231334e-09,0.22254712644083569
P021,S1_5,Sucrose,5,Gustatory,delta,1.5195905381078006e-09,0.3990872488817091
P021,S1_5,Sucrose,5,Gustatory,gamma,1.1838018735525884e-09,0.201428600864028
P021,S1_5,Sucrose,5,Gustatory,theta,5.217447283002473e-10,0.10685710226701911
P021,S1_5,Sucrose,5,Occipital,alpha,2.82905147497401e-10,0.08294037116052248
P021,S1_5,Sucrose,5,Occipital,beta,8.531258609518405e-10,0.2545913048693303
P021,S1_5,Sucrose,5,Occipital,delta,1.0129069482688816e-09,0.3499283177352526
P021,S1_5,Sucrose,5,Occipital,gamma,6.79908883945107e-10,0.20546388815082575
P021,S1_5,Sucrose,5,Occipital,theta,3.3995054783450234e-10,0.10707611808406897
P021,S1_5,Sucrose,5,Parietal,alpha,3.463792236450485e-10,0.06829663854963497
P021,S1_5,Sucrose,5,Parietal,beta,1.2284569614191928e-09,0.2458965656419389
P021,S1_5,Sucrose,5,Parietal,delta,1.3934761038929965e-09,0.36743175958615293
P021,S1_5,Sucrose,5,Parietal,gamma,1.1184013236580504e-09,0.22909770620153325
P021,S1_5,Sucrose,5,Parietal,theta,3.950285800874559e-10,0.08927733002074009
P021,S1_5,Sucrose,5,Temporal,alpha,4.00111148519187e-10,0.08433704105510537
P021,S1_5,Sucrose,5,Temporal,beta,1.2711463612107112e-09,0.22791246898112527
P021,S1_5,Sucrose,5,Temporal,delta,1.2833854811821831e-09,0.3662761579323566
P021,S1_5,Sucrose,5,Temporal,gamma,1.2025270951107109e-09,0.2165997083060131
P021,S1_5,Sucrose,5,Temporal,theta,4.953934670724814e-10,0.10487462372539982
P021,S1_7,Sucrose,7,Central,alpha,2.901430925022039e-10,0.08319704695924035
P021,S1_7,Sucrose,7,Central,beta,9.467883339708338e-10,0.25941106404466535
P021,S1_7,Sucrose,7,Central,delta,4.26354142636277e-10,0.2682951324997299
P021,S1_7,Sucrose,7,Central,gamma,9.638219990593981e-10,0.27417025697203146
P021,S1_7,Sucrose,7,Central,theta,3.304244495284864e-10,0.11492649952433287
P021,S1_7,Sucrose,7,Frontal,alpha,2.1320340808107096e-10,0.08291723494016479
P021,S1_7,Sucrose,7,Frontal,beta,5.950921390077042e-10,0.2306201806741054
P021,S1_7,Sucrose,7,Frontal,delta,8.694115456617296e-10,0.3647596656529181
P021,S1_7,Sucrose,7,Frontal,gamma,4.483395445288427e-10,0.19916633614661416
P021,S1_7,Sucrose,7,Frontal,theta,3.2323431168695964e-10,0.1225365825861975
P021,S1_7,Sucrose,7,Gustatory,alpha,3.336688939213279e-10,0.07611109284765245
P021,S1_7,Sucrose,7,Gustatory,beta,1.0979590184136425e-09,0.2458299574096611
P021,S1_7,Sucrose,7,Gustatory,delta,8.540518852813645e-10,0.2930064058687402
P021,S1_7,Sucrose,7,Gustatory,gamma,1.1868852409180385e-09,0.2762989803747021
P021,S1_7,Sucrose,7,Gustatory,theta,3.7774622953740133e-10,0.10875356349924405
P021,S1_7,Sucrose,7,Occipital,alpha,1.7861799696619202e-10,0.0678646388310187
P021,S1_7,Sucrose,7,Occipital,beta,7.464260140275637e-10,0.2950941334212772
P021,S1_7,Sucrose,7,Occipital,delta,5.065545542254598e-10,0.2561583292355341
P021,S1_7,Sucrose,7,Occipital,gamma,7.125604412998862e-10,0.2839021192729263
P021,S1_7,Sucrose,7,Occipital,theta,2.266980128994156e-10,0.09698077923924377
P021,S1_7,Sucrose,7,Parietal,alpha,3.78572381528046e-10,0.07549974410997248
P021,S1_7,Sucrose,7,Parietal,beta,1.229659310711853e-09,0.27432874778602034
P021,S1_7,Sucrose,7,Parietal,delta,9.210746832979455e-10,0.25224942506160564
P021,S1_7,Sucrose,7,Parietal,gamma,1.306936750953016e-09,0.29393588426451056
P021,S1_7,Sucrose,7,Parietal,theta,4.5206058494857895e-10,0.10398619877789118
P021,S1_7,Sucrose,7,Temporal,alpha,3.318066022539391e-10,0.07473138921970335
P021,S1_7,Sucrose,7,Temporal,beta,1.1160036365939924e-09,0.25796589855728164
P021,S1_7,Sucrose,7,Temporal,delta,8.470484871753674e-10,0.2735330823050113
P021,S1_7,Sucrose,7,Temporal,gamma,1.1879169062014672e-09,0.28826343957816425
P021,S1_7,Sucrose,7,Temporal,theta,3.653986549157251e-10,0.10550619033983943
P021,S2_12,Sucralose,12,Central,alpha,3.0594493552397703e-10,0.08020039859407162
P021,S2_12,Sucralose,12,Central,beta,9.7187132645602e-10,0.2488895465346847
P021,S2_12,Sucralose,12,Central,delta,8.564957258607211e-10,0.3273708929685804
P021,S2_12,Sucralose,12,Central,gamma,8.929165079600048e-10,0.22626726383440648
P021,S2_12,Sucralose,12,Central,theta,3.920319947303213e-10,0.11727189806825696
P021,S2_12,Sucralose,12,Frontal,alpha,2.645721442017504e-10,0.07601144275793054
P021,S2_12,Sucralose,12,Frontal,beta,6.936611620917587e-10,0.22353848521655087
P021,S2_12,Sucralose,12,Frontal,delta,1.15178766299965e-09,0.39991631431725905
P021,S2_12,Sucralose,12,Frontal,gamma,5.634533579382843e-10,0.18151664612318127
P021,S2_12,Sucralose,12,Frontal,theta,3.514802890896657e-10,0.11901711158507833
P021,S2_12,Sucralose,12,Gustatory,alpha,3.6751460231367455e-10,0.08148696116926031
P021,S2_12,Sucralose,12,Gustatory,beta,1.1649682303264559e-09,0.2520978268168646
P021,S2_12,Sucralose,12,Gustatory,delta,1.0012834303391003e-09,0.3042815700602192
P021,S2_12,Sucralose,12,Gustatory,gamma,1.154378477604661e-09,0.24005023912840978
P021,S2_12,Sucralose,12,Gustatory,theta,4.675590148201882e-10,0.12208340282524618
P021,S2_12,Sucralose,12,Occipital,alpha,2.0523085497844787e-10,0.07103225092724752
P021,S2_12,Sucralose,12,Occipital,beta,9.12924365254518e-10,0.3070038711696072
P021,S2_12,Sucralose,12,Occipital,delta,6.842815906883914e-10,0.2924220492985305
P021,S2_12,Sucralose,12,Occipital,gamma,6.811652540936003e-10,0.23728170894723516
P021,S2_12,Sucralose,12,Occipital,theta,2.34151982515702e-10,0.09226011965737936
P021,S2_12,Sucralose,12,Parietal,alpha,2.3145277724094164e-10,0.06520413989671885
P021,S2_12,Sucralose,12,Parietal,beta,9.907150331035914e-10,0.29311128110127554
P021,S2_12,Sucralose,12,Parietal,delta,7.821354851042995e-10,0.2863955435156954
P021,S2_12,Sucralose,12,Parietal,gamma,9.3324317136016e-10,0.2655238711616623
P021,S2_12,Sucralose,12,Parietal,theta,2.6639209666315873e-10,0.08976516432464776
P021,S2_12,Sucralose,12,Temporal,alpha,3.7064938636239253e-10,0.08277620603770287
P021,S2_12,Sucralose,12,Temporal,beta,1.3011025547152647e-09,0.28167856216562764
P021,S2_12,Sucralose,12,Temporal,delta,7.902091102571686e-10,0.2527563326623726
