subject_id,condition,condition_label,P1_mean_amp,P1_peak_amp,P1_peak_lat,N1_mean_amp,N1_peak_amp,N1_peak_lat,P2_mean_amp,P2_peak_amp,P2_peak_lat,N400_mean_amp,N400_peak_amp,N400_peak_lat,jar_group
P017,453,MedLow/453,1.363568887719729e-05,3.0109870795058666e-05,0.12,-1.0635276637510124e-05,-3.782304265769199e-05,0.22,4.7680909106545045e-06,2.1319238749128998e-05,0.29,1.7160135464095336e-05,6.958612084417835e-06,0.44,Khong_du
P017,189,Medium/189,8.761375139800164e-07,1.4979967195927201e-05,0.12,-9.020952356825714e-07,-9.19607209084461e-06,0.2,-5.87161961580143e-06,1.0288625821175403e-05,0.32,1.2088035775536897e-06,-8.031928850963746e-06,0.54,Khong_du
P017,762,MedHigh/762,4.184052974665064e-06,1.549282903852145e-05,0.14,3.592128738897056e-06,-2.339375555493462e-06,0.19,4.643842646054543e-06,3.699504245560092e-05,0.35,6.935074425428407e-06,-9.480953925352273e-06,0.54,Khong_du
P017,893,High/893,5.02998717796085e-06,1.7176836618659766e-05,0.14,1.9421963749912466e-06,-1.4055341171115285e-05,0.24,3.7912419860329185e-06,1.714303207336343e-05,0.24,-2.5750344268734215e-06,-1.4040064199131545e-05,0.45,Vua_phai
P018,605,Water/605,3.296988773117603e-05,4.8322729336784206e-05,0.11,1.3984908763421964e-06,-1.4885520537670043e-05,0.15,2.529643713588533e-05,5.124333999143951e-05,0.3,1.8940450347172756e-05,-6.449885556018368e-06,0.39,Khong_du
P018,258,Low/258,-1.1978934205509567e-05,-3.102842532598515e-06,0.15,7.326432583357441e-06,-1.408751086273696e-06,0.19,5.167681715270497e-06,1.7332388426893883e-05,0.26,1.396138137259019e-06,-1.3376578174491746e-05,0.39,Khong_du
P018,453,MedLow/453,-1.229249926544591e-05,-2.201856091232912e-06,0.15,-7.229732980817971e-06,-2.2034651078683967e-05,0.21,6.68056001153708e-06,1.7194850727264566e-05,0.23,2.6116280969470993e-06,-1.151511725462721e-05,0.53,Vua_phai
P018,189,Medium/189,4.1930179536718375e-06,1.9719496322068153e-05,0.1,2.5292588448683713e-06,-1.646409913291791e-05,0.23,4.231637297526557e-06,2.0258505898596013e-05,0.25,2.7501089389815098e-06,-9.486769717644469e-06,0.43,Vua_phai
P018,762,MedHigh/762,-9.408172189750986e-07,7.034130703686968e-06,0.09,-6.919005512981161e-06,-2.479359416334148e-05,0.21,-8.437723777468329e-06,7.381035857179085e-06,0.33,-5.399707301204137e-06,-2.4207903151326113e-05,0.35,Qua_nhieu
P018,893,High/893,2.3394948276538635e-05,3.548423159998038e-05,0.12,-1.0646320915115707e-05,-2.0163173837772773e-05,0.18,4.39250221711156e-06,2.766012871120438e-05,0.27,-2.4562612721757384e-06,-1.2134857558976363e-05,0.53,Qua_nhieu
