filter,n_samples,n_subjects,majority_baseline,strategy,K,model,accuracy,balanced_acc,f1
weak,119,28,0.7563025210084033,standard,15,LogReg_C1,0.5042016806722689,0.4735632183908046,0.4542557326078508
weak,119,28,0.7563025210084033,standard,15,LogReg_C10,0.5042016806722689,0.4735632183908046,0.4542557326078508
weak,119,28,0.7563025210084033,standard,15,SVM_RBF,0.5882352941176471,0.4706896551724138,0.4711111111111111
weak,119,28,0.7563025210084033,standard,15,RForest,0.7394957983193278,0.4888888888888889,0.4251207729468599
weak,119,28,0.7563025210084033,standard,15,GradBoost,0.680672268907563,0.4616858237547892,0.42904040404040406
weak,119,28,0.7563025210084033,standard,20,LogReg_C0.1,0.5126050420168067,0.4674329501915709,0.4539556962025317
weak,119,28,0.7563025210084033,standard,20,LogReg_C1,0.4957983193277311,0.45632183908045976,0.44183864915572235
weak,119,28,0.7563025210084033,standard,20,LogReg_C10,0.47058823529411764,0.4396551724137931,0.42352941176470593
weak,119,28,0.7563025210084033,standard,20,SVM_RBF,0.5882352941176471,0.48237547892720306,0.4814584259670965
weak,119,28,0.7563025210084033,standard,20,RForest,0.7563025210084033,0.5233716475095785,0.48987435328898743
weak,119,28,0.7563025210084033,standard,20,GradBoost,0.7563025210084033,0.5584291187739463,0.555340806597088
weak,119,28,0.7563025210084033,standard,30,LogReg_C0.1,0.5546218487394958,0.4952107279693487,0.48408997955010225
weak,119,28,0.7563025210084033,standard,30,LogReg_C1,0.5546218487394958,0.4835249042145594,0.4763802407638024
weak,119,28,0.7563025210084033,standard,30,LogReg_C10,0.5462184873949579,0.47796934865900387,0.47050098879367175
weak,119,28,0.7563025210084033,standard,30,SVM_RBF,0.5882352941176471,0.48237547892720306,0.4814584259670965
weak,119,28,0.7563025210084033,standard,30,RForest,0.7478991596638656,0.5061302681992337,0.45843446601941745
weak,119,28,0.7563025210084033,standard,30,GradBoost,0.7394957983193278,0.5473180076628352,0.5432710164665098
weak,119,28,0.7563025210084033,std+wins,3,LogReg_C0.1,0.4789915966386555,0.49195402298850577,0.4507147111375819
weak,119,28,0.7563025210084033,std+wins,3,LogReg_C1,0.4789915966386555,0.4802681992337165,0.4460960960960961
weak,119,28,0.7563025210084033,std+wins,3,LogReg_C10,0.47058823529411764,0.4747126436781609,0.43956043956043955
weak,119,28,0.7563025210084033,std+wins,3,SVM_RBF,0.4789915966386555,0.44521072796934863,0.4296536796536796
weak,119,28,0.7563025210084033,std+wins,3,RForest,0.6638655462184874,0.45057471264367815,0.4217687074829932
weak,119,28,0.7563025210084033,std+wins,3,GradBoost,0.5966386554621849,0.44118773946360157,0.43956043956043955
weak,119,28,0.7563025210084033,std+wins,5,LogReg_C0.1,0.4789915966386555,0.4802681992337165,0.4460960960960961
weak,119,28,0.7563025210084033,std+wins,5,LogReg_C1,0.48739495798319327,0.48582375478927203,0.45260538420933566
weak,119,28,0.7563025210084033,std+wins,5,LogReg_C10,0.48739495798319327,0.48582375478927203,0.45260538420933566
weak,119,28,0.7563025210084033,std+wins,5,SVM_RBF,0.5630252100840336,0.535823754789272,0.5104430379746836
weak,119,28,0.7563025210084033,std+wins,5,RForest,0.680672268907563,0.4616858237547892,0.42904040404040406
weak,119,28,0.7563025210084033,std+wins,5,GradBoost,0.6302521008403361,0.4634099616858237,0.4586435070306038
weak,119,28,0.7563025210084033,std+wins,8,LogReg_C0.1,0.4789915966386555,0.4568965517241379,0.4355875152998776
weak,119,28,0.7563025210084033,std+wins,8,LogReg_C1,0.4789915966386555,0.4685823754789272,0.44106060606060604
weak,119,28,0.7563025210084033,std+wins,8,LogReg_C10,0.47058823529411764,0.4630268199233717,0.43465801975718277
weak,119,28,0.7563025210084033,std+wins,8,SVM_RBF,0.5462184873949579,0.46628352490421454,0.4623493975903614
weak,119,28,0.7563025210084033,std+wins,8,RForest,0.6890756302521008,0.45555555555555555,0.4079601990049751
weak,119,28,0.7563025210084033,std+wins,8,GradBoost,0.6638655462184874,0.48563218390804597,0.4780701754385965
weak,119,28,0.7563025210084033,std+wins,10,LogReg_C0.1,0.5210084033613446,0.4846743295019157,0.46661948572776596
weak,119,28,0.7563025210084033,std+wins,10,LogReg_C1,0.5042016806722689,0.4735632183908046,0.4542557326078508
weak,119,28,0.7563025210084033,std+wins,10,LogReg_C10,0.5042016806722689,0.4735632183908046,0.4542557326078508
weak,119,28,0.7563025210084033,std+wins,10,SVM_RBF,0.5378151260504201,0.460727969348659,0.45662100456621
weak,119,28,0.7563025210084033,std+wins,10,RForest,0.7142857142857143,0.4839080459770115,0.4436193619361936
weak,119,28,0.7563025210084033,std+wins,10,GradBoost,0.680672268907563,0.47337164750957855,0.45068027210884354
weak,119,28,0.7563025210084033,std+wins,15,LogReg_C0.1,0.5378151260504201,0.49578544061302676,0.47894275933444785
weak,119,28,0.7563025210084033,std+wins,15,LogReg_C1,0.48739495798319327,0.4507662835249042,0.4357559269335406
weak,119,28,0.7563025210084033,std+wins,15,LogReg_C10,0.4957983193277311,0.45632183908045976,0.44183864915572235
weak,119,28,0.7563025210084033,std+wins,15,SVM_RBF,0.6050420168067226,0.4818007662835249,0.48198573677873485
weak,119,28,0.7563025210084033,std+wins,15,RForest,0.7394957983193278,0.4888888888888889,0.4251207729468599
weak,119,28,0.7563025210084033,std+wins,15,GradBoost,0.6890756302521008,0.4672413793103448,0.43267620152042263
weak,119,28,0.7563025210084033,std+wins,20,LogReg_C0.1,0.48739495798319327,0.4507662835249042,0.4357559269335406
weak,119,28,0.7563025210084033,std+wins,20,LogReg_C1,0.47058823529411764,0.4396551724137931,0.42352941176470593
weak,119,28,0.7563025210084033,std+wins,20,LogReg_C10,0.47058823529411764,0.4396551724137931,0.42352941176470593
weak,119,28,0.7563025210084033,std+wins,20,SVM_RBF,0.5630252100840336,0.4657088122605364,0.4647058823529412
weak,119,28,0.7563025210084033,std+wins,20,RForest,0.7647058823529411,0.5406130268199234,0.5196078431372549
weak,119,28,0.7563025210084033,std+wins,20,GradBoost,0.7310924369747899,0.5300766283524905,0.5191919191919192
weak,119,28,0.7563025210084033,std+wins,30,LogReg_C0.1,0.5378151260504201,0.48409961685823755,0.4720496894409938
weak,119,28,0.7563025210084033,std+wins,30,LogReg_C1,0.5378151260504201,0.48409961685823755,0.4720496894409938
weak,119,28,0.7563025210084033,std+wins,30,LogReg_C10,0.5210084033613446,0.46130268199233715,0.4528514963297572
weak,119,28,0.7563025210084033,std+wins,30,SVM_RBF,0.6302521008403361,0.4984674329501916,0.4984674329501916
weak,119,28,0.7563025210084033,std+wins,30,RForest,0.7478991596638656,0.49444444444444446,0.42788461538461536
weak,119,28,0.7563025210084033,std+wins,30,GradBoost,0.7142857142857143,0.5306513409961686,0.5260074976569822
weak,119,28,0.7563025210084033,std+iforest,3,LogReg_C0.1,0.5714285714285714,0.5881226053639848,0.5380223795387075
weak,119,28,0.7563025210084033,std+iforest,3,LogReg_C1,0.5546218487394958,0.5770114942528736,0.5243948420179474
weak,119,28,0.7563025210084033,std+iforest,3,LogReg_C10,0.5546218487394958,0.5770114942528736,0.5243948420179474
